"","Short.Name","Ranking","Economy","MillionsUSD"
"69","Iceland",122,"Iceland","13,579"
"111","Slovenia",80,"Slovenia","45,279"
"117","Luxembourg",74,"Luxembourg","55,178"
"128","Slovak Republic",63,"Slovak Republic","91,149"
"133","Hungary",58,"Hungary","124,600"
"136","New Zealand",55,"New Zealand","167,347"
"140","Czech Republic",51,"Czech Republic","196,446"
"145","Ireland",46,"Ireland","210,771"
"146","Portugal",45,"Portugal","212,274"
"148","Finland",43,"Finland","247,546"
"149","Greece",42,"Greece","249,099"
"151","Israel",40,"Israel","258,217"
"158","Denmark",33,"Denmark","314,887"
"164","Austria",27,"Austria","394,708"
"166","Belgium",25,"Belgium","483,262"
"167","Poland",24,"Poland","489,795"
"168","Norway",23,"Norway","499,667"
"170","Sweden",21,"Sweden","523,806"
"171","Switzerland",20,"Switzerland","631,173"
"173","Netherlands",18,"Netherlands","770,555"
"176","Korea",15,"Korea, Rep.","1,129,598"
"178","Spain",13,"Spain","1,322,965"
"179","Australia",12,"Australia","1,532,408"
"180","Canada",11,"Canada","1,821,424"
"182","Italy",9,"Italy","2,014,670"
"185","United Kingdom",6,"United Kingdom","2,471,784"
"186","France",5,"France","2,612,878"
"187","Germany",4,"Germany","3,428,131"
"188","Japan",3,"Japan","5,959,718"
"190","United States",1,"United States","16,244,600"
